('a', 'a', 'n')
('c', 'a', 'v')
('c', 'a', 'x')
('c', 'a', 'zg')
('c', 'ad', 'v')
('c', 'c', 'c')
('c', 'c', 'm')
('c', 'c', 'n')
('c', 'c', 'p')
('c', 'c', 'r')
('c', 'c', 't')
('c', 'c', 'v')
('c', 'c', 'x')
('c', 'd', 'a')
('c', 'd', 'ad')
('c', 'd', 'c')
('c', 'd', 'd')
('c', 'd', 'l')
('c', 'd', 'm')
('c', 'd', 'p')
('c', 'd', 'uv')
('c', 'd', 'v')
('c', 'd', 'x')
('c', 'eng', 'v')
('c', 'f', 'm')
('c', 'f', 'uj')
('c', 'h', 'd')
('c', 'h', 'n')
('c', 'j', 'yg')
('c', 'l', 'x')
('c', 'm', 'i')
('c', 'm', 'm')
('c', 'm', 'n')
('c', 'm', 'nr')
('c', 'm', 'r')
('c', 'm', 'uj')
('c', 'm', 'v')
('c', 'n', 'a')
('c', 'n', 'c')
('c', 'n', 'd')
('c', 'n', 'f')
('c', 'n', 'm')
('c', 'n', 'n')
('c', 'n', 'p')
('c', 'n', 'r')
('c', 'n', 's')
('c', 'n', 'u')
('c', 'n', 'uj')
('c', 'n', 'v')
('c', 'n', 'vn')
('c', 'n', 'x')
('c', 'n', 'y')
('c', 'n', 'zg')
('c', 'ng', 'y')
('c', 'nr', 'c')
('c', 'nr', 'v')
('c', 'ns', 'f')
('c', 'nz', 'd')
('c', 'nz', 'r')
('c', 'nz', 'uj')
('c', 'p', 'd')
('c', 'p', 'm')
('c', 'p', 'n')
('c', 'p', 'r')
('c', 'p', 's')
('c', 'p', 'v')
('c', 'r', 'a')
('c', 'r', 'c')
('c', 'r', 'd')
('c', 'r', 'i')
('c', 'r', 'l')
('c', 'r', 'm')
('c', 'r', 'n')
('c', 'r', 'nr')
('c', 'r', 'p')
('c', 'r', 'r')
('c', 'r', 's')
('c', 'r', 't')
('c', 'r', 'u')
('c', 'r', 'uj')
('c', 'r', 'v')
('c', 'r', 'vd')
('c', 'r', 'vn')
('c', 'r', 'x')
('c', 'rr', 'v')
('c', 's', 'a')
('c', 't', 'f')
('c', 't', 'm')
('c', 't', 'ng')
('c', 't', 'p')
('c', 't', 'r')
('c', 't', 'v')
('c', 'u', 'a')
('c', 'uj', 'n')
('c', 'v', 'a')
('c', 'v', 'ad')
('c', 'v', 'c')
('c', 'v', 'd')
('c', 'v', 'l')
('c', 'v', 'm')
('c', 'v', 'n')
('c', 'v', 'ng')
('c', 'v', 'p')
('c', 'v', 'r')
('c', 'v', 'ud')
('c', 'v', 'uj')
('c', 'v', 'ul')
('c', 'v', 'v')
('c', 'v', 'x')
('c', 'v', 'zg')
('c', 'vn', 'c')
('c', 'vn', 'n')
('c', 'x', 'c')
('c', 'x', 'd')
('c', 'x', 'p')
('c', 'x', 'r')
('c', 'x', 't')
('c', 'x', 'v')
('c', 'x', 'x')
('c', 'y', 'v')
('c', 'z', 'v')
('c', 'z', 'x')
('c', 'zg', 'a')
('c', 'zg', 'i')
('c', 'zg', 'n')
('d', 'a', 'a')
('d', 'a', 'n')
('d', 'a', 'q')
('d', 'a', 'r')
('d', 'a', 's')
('d', 'a', 'uj')
('d', 'a', 'ul')
('d', 'a', 'v')
('d', 'a', 'x')
('d', 'a', 'y')
('d', 'a', 'z')
('d', 'a', 'zg')
('d', 'ad', 'd')
('d', 'ad', 'uv')
('d', 'ad', 'v')
('d', 'ad', 'zg')
('d', 'an', 'p')
('d', 'an', 'uj')
('d', 'c', 'a')
('d', 'c', 'c')
('d', 'c', 'd')
('d', 'c', 'm')
('d', 'c', 'n')
('d', 'c', 'nr')
('d', 'c', 'p')
('d', 'c', 'r')
('d', 'c', 't')
('d', 'c', 'v')
('d', 'c', 'x')
('d', 'd', 'a')
('d', 'd', 'ad')
('d', 'd', 'c')
('d', 'd', 'd')
('d', 'd', 'm')
('d', 'd', 'nr')
('d', 'd', 'p')
('d', 'd', 'r')
('d', 'd', 'u')
('d', 'd', 'uv')
('d', 'd', 'v')
('d', 'd', 'vn')
('d', 'd', 'x')
('d', 'd', 'zg')
('d', 'h', 'c')
('d', 'i', 'uj')
('d', 'i', 'ul')
('d', 'i', 'v')
('d', 'i', 'x')
('d', 'j', 'v')
('d', 'l', 'r')
('d', 'l', 'uj')
('d', 'l', 'x')
('d', 'm', 'a')
('d', 'm', 'd')
('d', 'm', 'm')
('d', 'm', 'n')
('d', 'm', 'p')
('d', 'm', 'r')
('d', 'm', 'v')
('d', 'm', 'x')
('d', 'm', 'y')
('d', 'n', 'd')
('d', 'n', 'f')
('d', 'n', 'n')
('d', 'n', 'p')
('d', 'n', 'r')
('d', 'n', 's')
('d', 'n', 'tg')
('d', 'n', 'uj')
('d', 'n', 'ul')
('d', 'n', 'v')
('d', 'n', 'x')
('d', 'n', 'y')
('d', 'n', 'yg')
('d', 'n', 'zg')
('d', 'ng', 'x')
('d', 'nr', 'd')
('d', 'nr', 'm')
('d', 'nr', 'n')
('d', 'nr', 'p')
('d', 'nr', 'r')
('d', 'nr', 'uj')
('d', 'nr', 'x')
('d', 'nr', 'zg')
('d', 'ns', 'uv')
('d', 'nz', 'uj')
('d', 'p', 'a')
('d', 'p', 'b')
('d', 'p', 'd')
('d', 'p', 'm')
('d', 'p', 'n')
('d', 'p', 'nt')
('d', 'p', 'p')
('d', 'p', 'q')
('d', 'p', 'r')
('d', 'p', 's')
('d', 'p', 't')
('d', 'p', 'ul')
('d', 'p', 'v')
('d', 'p', 'x')
('d', 'p', 'zg')
('d', 'r', 'a')
('d', 'r', 'd')
('d', 'r', 'df')
('d', 'r', 'f')
('d', 'r', 'm')
('d', 'r', 'n')
('d', 'r', 't')
('d', 'r', 'ug')
('d', 'r', 'uj')
('d', 'r', 'v')
('d', 'r', 'x')
('d', 't', 'a')
('d', 't', 'v')
('d', 'u', 'nrt')
('d', 'u', 'v')
('d', 'u', 'x')
('d', 'u', 'y')
('d', 'ud', 'v')
('d', 'uj', 'a')
('d', 'uj', 'd')
('d', 'uj', 'mq')
('d', 'uj', 'n')
('d', 'uj', 's')
('d', 'uj', 'v')
('d', 'uj', 'vg')
('d', 'uj', 'x')
('d', 'ul', 'm')
('d', 'ul', 'x')
('d', 'ul', 'y')
('d', 'uv', 'd')
('d', 'uv', 'p')
('d', 'uv', 'v')
('d', 'uv', 'x')
('d', 'v', 'a')
('d', 'v', 'ad')
('d', 'v', 'b')
('d', 'v', 'c')
('d', 'v', 'd')
('d', 'v', 'f')
('d', 'v', 'i')
('d', 'v', 'j')
('d', 'v', 'l')
('d', 'v', 'm')
('d', 'v', 'n')
('d', 'v', 'ng')
('d', 'v', 'nr')
('d', 'v', 'nrt')
('d', 'v', 'ns')
('d', 'v', 'p')
('d', 'v', 'q')
('d', 'v', 'r')
('d', 'v', 't')
('d', 'v', 'u')
('d', 'v', 'ud')
('d', 'v', 'ug')
('d', 'v', 'uj')
('d', 'v', 'ul')
('d', 'v', 'v')
('d', 'v', 'vg')
('d', 'v', 'vn')
('d', 'v', 'x')
('d', 'v', 'y')
('d', 'v', 'zg')
('d', 'vd', 'uv')
('d', 'vg', 'r')
('d', 'vg', 'v')
('d', 'vg', 'x')
('d', 'vn', 'm')
('d', 'vn', 'ug')
('d', 'vn', 'uj')
('d', 'x', 'a')
('d', 'x', 'c')
('d', 'x', 'd')
('d', 'x', 'i')
('d', 'x', 'n')
('d', 'x', 'p')
('d', 'x', 'r')
('d', 'x', 'v')
('d', 'x', 'x')
('d', 'y', 'x')
('d', 'yg', 'n')
('d', 'z', 'n')
('d', 'z', 'uj')
('d', 'zg', 'd')
('d', 'zg', 'v')
('d', 'zg', 'x')
('df', 'p', 'r')
('df', 'v', 'v')
('e', 'a', 'x')
('e', 'e', 'x')
('e', 'x', 'd')
('e', 'x', 'n')
('e', 'x', 'r')
('e', 'x', 'v')
('e', 'x', 'x')
('e', 'x', 'zg')
('eng', 'c', 'd')
('eng', 'd', 'v')
('eng', 'q', 'uj')
('eng', 'v', 'p')
('eng', 'v', 't')
('eng', 'x', 'eng')
('eng', 'x', 'n')
('eng', 'x', 'r')
('eng', 'x', 'x')
('f', 'a', 'uj')
('f', 'a', 'uv')
('f', 'a', 'x')
('f', 'c', 'v')
('f', 'd', 'a')
('f', 'd', 'c')
('f', 'd', 'd')
('f', 'd', 'p')
('f', 'd', 'v')
('f', 'm', 'f')
('f', 'm', 'm')
('f', 'm', 'v')
('f', 'm', 'x')
('f', 'n', 'c')
('f', 'n', 'd')
('f', 'n', 'n')
('f', 'n', 'p')
('f', 'n', 'uv')
('f', 'n', 'x')
('f', 'nr', 'u')
('f', 'ns', 'd')
('f', 'ns', 'n')
('f', 'q', 'p')
('f', 'r', 'd')
('f', 'r', 'n')
('f', 'r', 'q')
('f', 'r', 'uj')
('f', 'r', 'v')
('f', 'u', 'n')
('f', 'uj', 'a')
('f', 'uj', 'm')
('f', 'uj', 'n')
('f', 'uj', 'r')
('f', 'uj', 'v')
('f', 'ul', 'y')
('f', 'v', 'an')
('f', 'v', 'm')
('f', 'v', 'n')
('f', 'v', 'r')
('f', 'v', 'uj')
('f', 'v', 'ul')
('f', 'v', 'v')
('f', 'v', 'x')
('f', 'v', 'zg')
('f', 'x', 'd')
('f', 'x', 'n')
('f', 'x', 'p')
('f', 'x', 'r')
('f', 'x', 'v')
('f', 'yg', 'd')
('f', 'yg', 'v')
('f', 'z', 'm')
('g', 'uj', 'n')
('g', 'v', 'x')
('h', 'c', 'vn')
('h', 'd', 'v')
('h', 'n', 'v')
('i', 'd', 'p')
('i', 'f', 'uj')
('i', 'k', 'uj')
('i', 'n', 'n')
('i', 'n', 'x')
('i', 'r', 'v')
('i', 'uj', 'a')
('i', 'uj', 'n')
('i', 'uj', 'x')
('i', 'ul', 'x')
('i', 'uv', 'v')
('i', 'v', 'n')
('i', 'v', 'uj')
('i', 'v', 'ul')
('i', 'x', 'c')
('i', 'x', 'n')
('i', 'x', 'r')
('i', 'x', 'v')
('i', 'y', 'm')
('i', 'y', 'x')
('j', 'n', 'f')
('j', 'n', 'm')
('j', 'n', 'n')
('j', 'n', 'x')
('j', 'p', 'v')
('j', 'u', 'n')
('j', 'uj', 'n')
('j', 'v', 'x')
('j', 'x', 'n')
('j', 'x', 'r')
('j', 'yg', 'p')
('k', 'uj', 'a')
('k', 'uj', 'n')
('k', 'x', 'n')
('l', 'd', 'v')
('l', 'n', 'uj')
('l', 'n', 'x')
('l', 'p', 'n')
('l', 'r', 'n')
('l', 'r', 'v')
('l', 'uj', 'n')
('l', 'uj', 'v')
('l', 'uj', 'x')
('l', 'uv', 'p')
('l', 'v', 'n')
('l', 'v', 'uj')
('l', 'v', 'v')
('l', 'x', 'c')
('l', 'x', 'd')
('l', 'x', 'm')
('l', 'x', 'n')
('l', 'x', 'p')
('l', 'x', 'r')
('l', 'y', 'v')
('l', 'y', 'y')
('l', 'zg', 'x')
('m', 'a', 'a')
('m', 'a', 'n')
('m', 'a', 'ng')
('m', 'a', 'uj')
('m', 'a', 'uv')
('m', 'a', 'v')
('m', 'a', 'vn')
('m', 'ad', 'd')
('m', 'b', 'uj')
('m', 'c', 't')
('m', 'd', 'a')
('m', 'd', 'c')
('m', 'd', 'l')
('m', 'd', 'm')
('m', 'd', 'n')
('m', 'd', 'p')
('m', 'd', 'v')
('m', 'd', 'x')
('m', 'f', 'd')
('m', 'f', 'x')
('m', 'i', 'uj')
('m', 'l', 'uv')
('m', 'l', 'v')
('m', 'l', 'x')
('m', 'm', 'a')
('m', 'm', 'm')
('m', 'm', 'n')
('m', 'm', 'uj')
('m', 'm', 'ul')
('m', 'm', 'v')
('m', 'm', 'x')
('m', 'n', 'a')
('m', 'n', 'd')
('m', 'n', 'f')
('m', 'n', 'i')
('m', 'n', 'm')
('m', 'n', 'n')
('m', 'n', 'nr')
('m', 'n', 'nz')
('m', 'n', 'p')
('m', 'n', 'q')
('m', 'n', 'r')
('m', 'n', 'uj')
('m', 'n', 'v')
('m', 'n', 'vn')
('m', 'n', 'x')
('m', 'n', 'y')
('m', 'n', 'zg')
('m', 'nr', 'a')
('m', 'nr', 'nrt')
('m', 'nr', 'p')
('m', 'nr', 'uj')
('m', 'nr', 'x')
('m', 'nrt', 'uj')
('m', 'nz', 'v')
('m', 'p', 'd')
('m', 'p', 'm')
('m', 'p', 'n')
('m', 'p', 'nr')
('m', 'p', 'ns')
('m', 'p', 'r')
('m', 'p', 'v')
('m', 'q', 'a')
('m', 'q', 'd')
('m', 'q', 'm')
('m', 'q', 'n')
('m', 'q', 'p')
('m', 'q', 't')
('m', 'q', 'ul')
('m', 'q', 'yg')
('m', 'r', 'a')
('m', 'r', 'd')
('m', 'r', 'p')
('m', 'r', 'v')
('m', 't', 'a')
('m', 't', 'nr')
('m', 't', 'v')
('m', 't', 'x')
('m', 'u', 'uv')
('m', 'u', 'x')
('m', 'uj', 'a')
('m', 'uj', 'n')
('m', 'uj', 'ns')
('m', 'uj', 'q')
('m', 'uj', 's')
('m', 'uj', 'v')
('m', 'uj', 'vn')
('m', 'ul', 'm')
('m', 'ul', 'x')
('m', 'v', 'a')
('m', 'v', 'd')
('m', 'v', 'm')
('m', 'v', 'n')
('m', 'v', 'nr')
('m', 'v', 'nz')
('m', 'v', 'r')
('m', 'v', 't')
('m', 'v', 'ud')
('m', 'v', 'ug')
('m', 'v', 'uj')
('m', 'v', 'ul')
('m', 'v', 'v')
('m', 'v', 'x')
('m', 'v', 'zg')
('m', 'vg', 'ng')
('m', 'vg', 'v')
('m', 'vn', 'x')
('m', 'x', 'a')
('m', 'x', 'c')
('m', 'x', 'd')
('m', 'x', 'eng')
('m', 'x', 'l')
('m', 'x', 'm')
('m', 'x', 'n')
('m', 'x', 'nr')
('m', 'x', 'r')
('m', 'x', 'v')
('m', 'x', 'vn')
('m', 'x', 'x')
('m', 'x', 'zg')
('m', 'y', 'm')
('m', 'y', 'ug')
('m', 'y', 'uj')
('m', 'y', 'ul')
('m', 'y', 'x')
('m', 'z', 'uj')
('m', 'zg', 'm')
('m', 'zg', 'v')
('m', 'zg', 'x')
('mq', 'p', 'v')
('mq', 'v', 'v')
('mq', 'x', 'r')
('n', 'a', 'a')
('n', 'a', 'm')
('n', 'a', 'n')
('n', 'a', 'p')
('n', 'a', 'uj')
('n', 'a', 'uv')
('n', 'a', 'v')
('n', 'a', 'x')
('n', 'a', 'y')
('n', 'ad', 'n')
('n', 'ad', 'p')
('n', 'ad', 'v')
('n', 'ad', 'zg')
('n', 'an', 'uj')
('n', 'an', 'x')
('n', 'b', 'v')
('n', 'b', 'yg')
('n', 'c', 'a')
('n', 'c', 'h')
('n', 'c', 'm')
('n', 'c', 'n')
('n', 'c', 'nr')
('n', 'c', 'p')
('n', 'c', 'r')
('n', 'c', 't')
('n', 'c', 'uj')
('n', 'c', 'v')
('n', 'd', 'a')
('n', 'd', 'an')
('n', 'd', 'c')
('n', 'd', 'd')
('n', 'd', 'l')
('n', 'd', 'm')
('n', 'd', 'n')
('n', 'd', 'ns')
('n', 'd', 'p')
('n', 'd', 'r')
('n', 'd', 'u')
('n', 'd', 'uj')
('n', 'd', 'uv')
('n', 'd', 'v')
('n', 'd', 'vg')
('n', 'd', 'vn')
('n', 'd', 'x')
('n', 'd', 'z')
('n', 'd', 'zg')
('n', 'e', 'x')
('n', 'f', 'a')
('n', 'f', 'c')
('n', 'f', 'd')
('n', 'f', 'm')
('n', 'f', 'n')
('n', 'f', 'nr')
('n', 'f', 'ns')
('n', 'f', 'q')
('n', 'f', 'r')
('n', 'f', 'u')
('n', 'f', 'uj')
('n', 'f', 'v')
('n', 'f', 'x')
('n', 'f', 'yg')
('n', 'g', 'uj')
('n', 'i', 'n')
('n', 'i', 'uv')
('n', 'i', 'y')
('n', 'j', 'v')
('n', 'j', 'x')
('n', 'k', 'uj')
('n', 'l', 'x')
('n', 'm', 'a')
('n', 'm', 'd')
('n', 'm', 'm')
('n', 'm', 'n')
('n', 'm', 'r')
('n', 'm', 'uj')
('n', 'm', 'v')
('n', 'm', 'x')
('n', 'm', 'zg')
('n', 'n', 'ad')
('n', 'n', 'd')
('n', 'n', 'f')
('n', 'n', 'm')
('n', 'n', 'n')
('n', 'n', 'ng')
('n', 'n', 'nr')
('n', 'n', 'p')
('n', 'n', 'u')
('n', 'n', 'uj')
('n', 'n', 'ul')
('n', 'n', 'uv')
('n', 'n', 'v')
('n', 'n', 'vg')
('n', 'n', 'vn')
('n', 'n', 'x')
('n', 'n', 'y')
('n', 'n', 'zg')
('n', 'ng', 'ng')
('n', 'ng', 'r')
('n', 'ng', 'zg')
('n', 'nr', 'a')
('n', 'nr', 'd')
('n', 'nr', 'f')
('n', 'nr', 'n')
('n', 'nr', 'ul')
('n', 'nr', 'v')
('n', 'nr', 'vn')
('n', 'nr', 'x')
('n', 'nr', 'zg')
('n', 'ns', 'p')
('n', 'nz', 'uv')
('n', 'nz', 'x')
('n', 'o', 'uv')
('n', 'p', 'a')
('n', 'p', 'd')
('n', 'p', 'l')
('n', 'p', 'm')
('n', 'p', 'n')
('n', 'p', 'nr')
('n', 'p', 'r')
('n', 'p', 't')
('n', 'p', 'uj')
('n', 'p', 'v')
('n', 'p', 'vn')
('n', 'p', 'x')
('n', 'q', 'd')
('n', 'q', 'n')
('n', 'q', 'nr')
('n', 'q', 'v')
('n', 'q', 'x')
('n', 'q', 'yg')
('n', 'r', 'a')
('n', 'r', 'd')
('n', 'r', 'f')
('n', 'r', 'm')
('n', 'r', 'n')
('n', 'r', 'uj')
('n', 'r', 'v')
('n', 'r', 'vn')
('n', 'r', 'x')
('n', 'r', 'zg')
('n', 's', 'd')
('n', 's', 'uj')
('n', 's', 'v')
('n', 't', 'n')
('n', 't', 'x')
('n', 'tg', 'v')
('n', 'u', 'c')
('n', 'u', 'd')
('n', 'u', 'n')
('n', 'u', 'nr')
('n', 'u', 'r')
('n', 'u', 'v')
('n', 'u', 'x')
('n', 'uj', 'a')
('n', 'uj', 'an')
('n', 'uj', 'c')
('n', 'uj', 'd')
('n', 'uj', 'j')
('n', 'uj', 'l')
('n', 'uj', 'm')
('n', 'uj', 'n')
('n', 'uj', 'ng')
('n', 'uj', 'nr')
('n', 'uj', 'r')
('n', 'uj', 's')
('n', 'uj', 't')
('n', 'uj', 'ul')
('n', 'uj', 'v')
('n', 'uj', 'vn')
('n', 'uj', 'x')
('n', 'uj', 'y')
('n', 'uj', 'z')
('n', 'ul', 'm')
('n', 'ul', 'x')
('n', 'ul', 'y')
('n', 'uv', 'v')
('n', 'uv', 'vn')
('n', 'v', 'a')
('n', 'v', 'ad')
('n', 'v', 'an')
('n', 'v', 'c')
('n', 'v', 'd')
('n', 'v', 'f')
('n', 'v', 'i')
('n', 'v', 'm')
('n', 'v', 'n')
('n', 'v', 'nr')
('n', 'v', 'ns')
('n', 'v', 'p')
('n', 'v', 'q')
('n', 'v', 'r')
('n', 'v', 's')
('n', 'v', 't')
('n', 'v', 'ud')
('n', 'v', 'uj')
('n', 'v', 'ul')
('n', 'v', 'v')
('n', 'v', 'vn')
('n', 'v', 'x')
('n', 'v', 'y')
('n', 'v', 'zg')
('n', 'vd', 'ul')
('n', 'vg', 'ud')
('n', 'vg', 'ul')
('n', 'vg', 'zg')
('n', 'vn', 'd')
('n', 'vn', 'f')
('n', 'vn', 'n')
('n', 'vn', 'uj')
('n', 'vn', 'ul')
('n', 'vn', 'x')
('n', 'x', 'a')
('n', 'x', 'ad')
('n', 'x', 'b')
('n', 'x', 'c')
('n', 'x', 'd')
('n', 'x', 'f')
('n', 'x', 'i')
('n', 'x', 'l')
('n', 'x', 'm')
('n', 'x', 'mq')
('n', 'x', 'n')
('n', 'x', 'nr')
('n', 'x', 'nz')
('n', 'x', 'o')
('n', 'x', 'p')
('n', 'x', 'r')
('n', 'x', 's')
('n', 'x', 't')
('n', 'x', 'uj')
('n', 'x', 'v')
('n', 'x', 'vg')
('n', 'x', 'x')
('n', 'x', 'yg')
('n', 'x', 'zg')
('n', 'y', 'u')
('n', 'y', 'uj')
('n', 'y', 'x')
('n', 'y', 'y')
('n', 'yg', 'd')
('n', 'yg', 'm')
('n', 'yg', 'v')
('n', 'z', 'n')
('n', 'z', 'uv')
('n', 'z', 'z')
('n', 'zg', 'ad')
('n', 'zg', 'd')
('n', 'zg', 'i')
('n', 'zg', 'm')
('n', 'zg', 'n')
('n', 'zg', 'q')
('n', 'zg', 'v')
('n', 'zg', 'vn')
('n', 'zg', 'x')
('ng', 'c', 'a')
('ng', 'c', 'z')
('ng', 'd', 'v')
('ng', 'f', 'd')
('ng', 'm', 'n')
('ng', 'm', 'vg')
('ng', 'n', 'd')
('ng', 'n', 'v')
('ng', 'ng', 'v')
('ng', 'ng', 'x')
('ng', 'ng', 'zg')
('ng', 'nr', 'a')
('ng', 'nr', 'n')
('ng', 'nr', 'r')
('ng', 'nr', 'v')
('ng', 'nr', 'x')
('ng', 'nr', 'zg')
('ng', 'p', 'a')
('ng', 'q', 'd')
('ng', 'r', 'v')
('ng', 'uj', 'm')
('ng', 'uj', 'n')
('ng', 'uj', 'x')
('ng', 'v', 'm')
('ng', 'v', 'p')
('ng', 'v', 'r')
('ng', 'v', 'uj')
('ng', 'v', 'ul')
('ng', 'v', 'v')
('ng', 'v', 'x')
('ng', 'x', 'd')
('ng', 'x', 'n')
('ng', 'x', 'r')
('ng', 'y', 'o')
('ng', 'y', 'uj')
('ng', 'zg', 'd')
('ng', 'zg', 'f')
('ng', 'zg', 'ng')
('ng', 'zg', 'x')
('nr', 'a', 'e')
('nr', 'a', 'p')
('nr', 'a', 'uj')
('nr', 'a', 'ul')
('nr', 'a', 'uv')
('nr', 'c', 'v')
('nr', 'd', 'a')
('nr', 'd', 'p')
('nr', 'd', 'r')
('nr', 'd', 'uj')
('nr', 'd', 'v')
('nr', 'f', 'v')
('nr', 'm', 'n')
('nr', 'm', 'q')
('nr', 'm', 'v')
('nr', 'n', 'a')
('nr', 'n', 'f')
('nr', 'n', 'm')
('nr', 'n', 'uj')
('nr', 'n', 'v')
('nr', 'n', 'x')
('nr', 'nr', 'v')
('nr', 'nrt', 'x')
('nr', 'p', 'nt')
('nr', 'p', 'r')
('nr', 'p', 'ul')
('nr', 'p', 'x')
('nr', 'r', 'd')
('nr', 'r', 'n')
('nr', 'r', 'uj')
('nr', 'r', 'v')
('nr', 'r', 'y')
('nr', 's', 'n')
('nr', 'u', 'x')
('nr', 'uj', 'a')
('nr', 'uj', 'n')
('nr', 'uj', 'ns')
('nr', 'uj', 'vn')
('nr', 'uj', 'x')
('nr', 'ul', 'y')
('nr', 'v', 'c')
('nr', 'v', 'd')
('nr', 'v', 'n')
('nr', 'v', 'p')
('nr', 'v', 'r')
('nr', 'v', 'ud')
('nr', 'v', 'ul')
('nr', 'v', 'v')
('nr', 'v', 'x')
('nr', 'vn', 'd')
('nr', 'vn', 'x')
('nr', 'x', 'b')
('nr', 'x', 'c')
('nr', 'x', 'd')
('nr', 'x', 'm')
('nr', 'x', 'n')
('nr', 'x', 'nr')
('nr', 'x', 'p')
('nr', 'x', 'r')
('nr', 'x', 'u')
('nr', 'x', 'v')
('nr', 'yg', 'm')
('nr', 'yg', 'p')
('nr', 'yg', 'r')
('nr', 'zg', 'a')
('nr', 'zg', 'm')
('nr', 'zg', 'n')
('nr', 'zg', 'v')
('nr', 'zg', 'vn')
('nr', 'zg', 'x')
('nrt', 'd', 'uv')
('nrt', 'k', 'uj')
('nrt', 'uj', 'v')
('nrt', 'uv', 'x')
('nrt', 'v', 'uj')
('nrt', 'v', 'x')
('nrt', 'x', 'r')
('nrt', 'zg', 'v')
('ns', 'a', 'n')
('ns', 'a', 'ul')
('ns', 'b', 'uj')
('ns', 'c', 'a')
('ns', 'c', 'v')
('ns', 'd', 'v')
('ns', 'f', 'uj')
('ns', 'j', 'x')
('ns', 'n', 'uj')
('ns', 'n', 'x')
('ns', 'n', 'y')
('ns', 'nrt', 'k')
('ns', 'ns', 'x')
('ns', 'p', 'v')
